0.0	1.0		693		26.727926
0.01	0.99		678		26.727926
0.02	0.98		673		26.727926
0.03	0.97		664		26.727926
0.04	0.96		661		26.727926
0.05	0.95		661		26.727926
0.06	0.94		661		26.727926
0.07	0.93		661		26.727926
0.08	0.92		661		26.727926
0.09	0.91		660		26.727926
0.1	0.9		660		26.727926
0.11	0.89		659		26.727926
0.12	0.88		656		26.727926
0.13	0.87		657		26.727926
0.14	0.86		655		26.727926
0.15	0.85		656		26.727926
0.16	0.84		655		26.727926
0.17	0.83		656		26.727926
0.18	0.82		655		26.727926
0.19	0.81		654		26.727926
0.2	0.8		654		26.727926
0.21	0.79		654		26.727926
0.22	0.78		653		26.727926
0.23	0.77		652		26.727926
0.24	0.76		650		26.727926
0.25	0.75		647		26.727926
0.26	0.74		648		26.727926
0.27	0.73		648		26.727926
0.28	0.72		648		26.727926
0.29	0.71		649		26.727926
0.3	0.7		648		26.727926
0.31	0.69		647		26.727926
0.32	0.68		644		26.727926
0.33	0.67		644		26.727926
0.34	0.66		643		26.727926
0.35	0.65		642		26.727926
0.36	0.64		645		26.727926
0.37	0.63		644		26.727926
0.38	0.62		642		26.727926
0.39	0.61		641		26.727926
0.4	0.6		639		26.727926
0.41	0.59		639		26.727926
0.42	0.58		638		26.727926
0.43	0.57		638		26.727926
0.44	0.56		637		26.727926
0.45	0.55		637		26.727926
0.46	0.54		637		26.727926
0.47	0.53		636		26.727926
0.48	0.52		637		26.727926
0.49	0.51		636		26.727926
0.5	0.5		635		26.727926
0.51	0.49		634		26.727926
0.52	0.48		634		26.727926
0.53	0.47		634		26.727926
0.54	0.46		633		26.727926
0.55	0.45		632		26.727926
0.56	0.44		631		26.727926
0.57	0.43		629		26.727926
0.58	0.42		625		26.727926
0.59	0.41		625		26.727926
0.6	0.4		625		26.727926
0.61	0.39		626		26.727926
0.62	0.38		627		26.727926
0.63	0.37		627		26.727926
0.64	0.36		626		26.727926
0.65	0.35		625		26.727926
0.66	0.34		625		26.727926
0.67	0.33		625		26.727926
0.68	0.32		625		26.727926
0.69	0.31		625		26.727926
0.7	0.3		624		26.727926
0.71	0.29		624		26.727926
0.72	0.28		625		26.727926
0.73	0.27		624		26.727926
0.74	0.26		624		26.727926
0.75	0.25		623		26.727926
0.76	0.24		623		26.727926
0.77	0.23		622		26.727926
0.78	0.22		621		26.727926
0.79	0.21		619		26.727926
0.8	0.2		618		26.727926
0.81	0.19		618		26.727926
0.82	0.18		618		26.727926
0.83	0.17		618		26.727926
0.84	0.16		617		26.727926
0.85	0.15		617		26.727926
0.86	0.14		616		26.727926
0.87	0.13		617		26.727926
0.88	0.12		617		26.727926
0.89	0.11		617		26.727926
0.9	0.1		617		26.727926
0.91	0.09		617		26.727926
0.92	0.08		617		26.727926
0.93	0.07		616		26.727926
0.94	0.06		616		26.727926
0.95	0.05		616		26.727926
0.96	0.04		616		26.727926
0.97	0.03		616		26.727926
0.98	0.02		616		26.727926
0.99	0.01		616		26.727926
